2020-08-11 11:53:06,227 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 11:53:06,455 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 11:53:06,464 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 11:53:06,676 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2020-08-11 12:08:40,232 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:08:41,199 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 12:08:41,207 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:08:41,332 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-08-11 12:14:34,199 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:14:37,552 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 12:14:37,564 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:14:38,250 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-08-11 12:16:24,517 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:16:24,744 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 12:16:24,750 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:16:24,899 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-08-11 12:17:22,573 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:17:23,532 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 12:17:23,538 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:17:25,823 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-08-11 12:29:03,837 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:29:04,102 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 12:29:04,109 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 12:29:04,429 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 17:24:41,119 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:24:43,031 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 17:24:43,062 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:24:43,278 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 17:26:50,051 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:26:50,115 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 17:26:50,121 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:26:50,414 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 17:44:28,847 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:44:29,060 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 17:44:29,067 [Worker-115] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:44:29,866 [Worker-115] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 17:51:14,452 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:51:14,605 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 17:51:14,612 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:51:14,808 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 17:53:24,733 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:53:25,008 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 17:53:25,017 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:53:25,055 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 17:58:53,815 [Worker-127] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:59:00,828 [Worker-127] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-08-11 17:59:00,835 [Worker-127] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-08-11 17:59:02,103 [Worker-127] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2020-08-11 18:00:52,749 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
